,group id,BrainID,roi id,Count,Total Area,Average Size,%Area,Perim.,ROI um^2,ROI mm^2,#Cell Density/mm^2,Genotype,Sex,Treatment
43,I,2,PL,43.5,1809.649,42.216,0.8575,23.161,208688.266,0.208688266,204.8815227,GG,F,Chronic
44,I,2,PVT,58.66666667,2461.474667,42.022,1.021,21.61133333,240755.8137,0.240755814,242.8775059,GG,F,Chronic
45,I,2,SNc,24.33333333,1212.705667,49.279,0.381666667,24.51966667,312999.068,0.312999068,79.46471897,GG,F,Chronic
46,I,2,SNr,21.66666667,996.2646667,38.085,0.200333333,21.215,454688.3127,0.454688313,43.96658605,GG,F,Chronic
47,I,2,VTA,26.66666667,1292.279667,48.737,0.530333333,24.311,240473.8457,0.240473846,109.4477811,GG,F,Chronic
48,I,3,ACAd,45.5,1897.25975,41.6275,1.41425,22.46525,132181.6528,0.132181653,340.6561742,GG,F,Chronic
49,I,3,ACAv,59,2666.127333,44.84666667,1.552666667,23.39566667,170399.4977,0.170399498,344.9241775,GG,F,Chronic
50,I,3,ACB,69.33333333,2760.364333,38.528,0.283666667,21.797,989661.3413,0.989661341,71.15476492,GG,F,Chronic
51,I,3,AId,21.33333333,1078.819667,50.285,0.710666667,24.87766667,160957.1273,0.160957127,138.8335799,GG,F,Chronic
52,I,3,AIv,29.33333333,1376.255667,47.17033333,0.388666667,24.40566667,348218.2113,0.348218211,83.16179181,GG,F,Chronic
53,I,3,BLA,10.33333333,445.711,47.52666667,0.359333333,23.64166667,121497.935,0.121497935,80.52744232,GG,F,Chronic
54,I,3,BST,34.33333333,1332.873667,39.27266667,0.452333333,21.94266667,338278.3153,0.338278315,115.0204532,GG,F,Chronic
55,I,3,CEA,7,281.8043333,40.163,0.077666667,21.34533333,315894.0567,0.315894057,19.17841265,GG,F,Chronic
56,I,3,CLA,13,753.8973333,57.922,1.451666667,26.78766667,54897.092,0.054897092,248.5326515,GG,F,Chronic
57,I,3,CP,139,5637.29725,40.44775,0.26075,22.7025,2245347.545,2.245347545,65.65907207,GG,F,Chronic
58,I,3,DG,18,986.3153333,53.676,0.939,25.60366667,107942.571,0.107942571,170.1960734,GG,F,Chronic
59,I,3,GPe,12,597.3965,36.2885,0.189,20.295,265632.237,0.265632237,38.46596177,GG,F,Chronic
60,I,3,GPi,20.5,838.943,43.047,0.525,23.329,158907.4635,0.158907464,123.9632544,GG,F,Chronic
61,I,3,ILA,59,2459.002,41.678,2.349,22.887,104691.633,0.104691633,563.5598405,GG,F,Chronic
62,I,3,LH,0,0,,0,,35686.352,0.035686352,0,GG,F,Chronic
63,I,3,LHA,16.66666667,488.8443333,29.59166667,0.111333333,18.332,448866.893,0.448866893,38.16879027,GG,F,Chronic
64,I,3,MH,4,148.091,38.82,0.342666667,22.37866667,43642.293,0.043642293,93.026052,GG,F,Chronic
65,I,3,PAG,219.3333333,9467.699667,43.03866667,0.781666667,22.53366667,1226220.703,1.226220703,180.853993,GG,F,Chronic
66,I,3,PALv,38.33333333,1693.497667,45.558,0.27,23.65,576575.72,0.57657572,61.41359648,GG,F,Chronic
67,I,3,PL,76.5,3254.1285,42.541,1.577,22.8145,208688.266,0.208688266,371.176093,GG,F,Chronic
68,I,3,PVT,33,1203.419667,35.33466667,0.44,20.112,240755.8137,0.240755814,122.6317566,GG,F,Chronic
69,I,3,SNc,28,1203.157,44.06233333,0.381333333,22.98833333,312999.068,0.312999068,87.44522593,GG,F,Chronic
70,I,3,SNr,12.33333333,450.388,37.32,0.104666667,20.86066667,448204.6333,0.448204633,28.65389685,GG,F,Chronic
71,I,3,VTA,54.33333333,2302.868,41.38266667,0.951666667,22.62433333,240473.8457,0.240473846,225.0806462,GG,F,Chronic
72,I,4,ACAd,12,474.86725,37.15375,0.39575,22.702,129725.5958,0.129725596,99.00899025,AA,F,Chronic
73,I,4,ACAv,42.33333333,1602.032333,36.569,0.924,21.624,170399.4977,0.170399498,244.7847481,AA,F,Chronic
74,I,4,ACB,32,1132.809667,34.65566667,0.116666667,21.133,989661.3413,0.989661341,32.99063258,AA,F,Chronic
75,I,4,AId,8.333333333,344.5546667,39.462,0.233666667,22.55066667,160957.1273,0.160957127,56.37730864,AA,F,Chronic
76,I,4,AIv,12.66666667,427.994,34.59933333,0.117,19.92366667,358227.9683,0.358227968,34.38085481,AA,F,Chronic
77,I,4,BLA,4.666666667,232.92,53.677,0.187,24.91,121497.935,0.121497935,37.67290375,AA,F,Chronic
78,I,4,BST,25.33333333,875.519,34.665,0.269,21.03166667,338278.3153,0.338278315,75.92551469,AA,F,Chronic
79,I,4,CEA,2.333333333,56.07333333,24.083,0.023666667,15.23433333,315894.0567,0.315894057,8.835543214,AA,F,Chronic
80,I,4,CLA,8.666666667,363.206,46.73866667,0.687,23.52266667,54897.092,0.054897092,156.1209135,AA,F,Chronic
81,I,4,CP,60,2202.2395,35.2095,0.11875,20.688,1581606.248,1.581606248,32.6367144,AA,F,Chronic
82,I,4,DG,9.666666667,415.5176667,44.13433333,0.385333333,22.806,107942.571,0.107942571,89.46583845,AA,F,Chronic
83,I,4,GPe,4,129.4,31.3435,0.0475,18.042,267885.9525,0.267885953,14.75965667,AA,F,Chronic
84,I,4,GPi,11,401.14,36.987,0.295,20.8235,145458.4945,0.145458494,78.08416627,AA,F,Chronic
85,I,4,ILA,12,509.47,40.8925,0.45,22.1695,121336.277,0.121336277,103.0999259,AA,F,Chronic
86,I,4,LH,0.5,10.7835,21.567,0.0395,15.902,35686.352,0.035686352,18.21776946,AA,F,Chronic
87,I,4,LHA,48.66666667,2402.526,49.31466667,0.554,23.781,448866.893,0.448866893,112.3566515,AA,F,Chronic
88,I,4,MH,1.666666667,56.07333333,30.7325,0.132666667,19.0805,43642.293,0.043642293,39.35084967,AA,F,Chronic
89,I,4,PAG,98,4293.806333,43.16666667,0.356,22.21866667,1226220.703,1.226220703,81.12045094,AA,F,Chronic
90,I,4,PALv,6.333333333,238.906,36.4695,0.035333333,21.858,576575.72,0.57657572,9.39271775,AA,F,Chronic
91,I,4,PL,33,1453.314,44.156,0.706,23.6495,208688.266,0.208688266,161.0508259,AA,F,Chronic
92,I,4,PVT,49.33333333,2208.426,45.40266667,0.884666667,22.62933333,240755.8137,0.240755814,195.9342549,AA,F,Chronic
93,I,4,SNc,17.33333333,846.666,47.976,0.263666667,23.491,312999.068,0.312999068,55.33319052,AA,F,Chronic
94,I,4,SNr,4,157.5563333,38.99133333,0.034666667,21.63766667,454688.3127,0.454688313,8.963962197,AA,F,Chronic
95,I,4,VTA,16.33333333,765.5006667,46.92066667,0.311666667,23.90066667,240473.8457,0.240473846,66.24410989,AA,F,Chronic
96,I,5,ACAd,28,1095.507333,38.86633333,0.925666667,21.293,118398.236,0.118398236,236.8278825,GG,F,SAL
97,I,5,ACAv,40.66666667,1862.166,44.35333333,1.065,22.89966667,170399.4977,0.170399498,233.7910779,GG,F,SAL
